X,Y,OBJECTID,Location,RouteName,Type_1,StopSurface,Sidewalk,Name,SharedSignage,Additional,Garbage,Bench,SignCondition,PoleCondition,NumberSigns,Shelter,ShelterCondition,Accessibility,WidthSidewalk,SnowRemoval,GlobalID,Route_s
-66.63275116,45.97168434,660,125 Cliffe street,14N Barkers Point,Standard on Metal Pole,Concrete,Yes Boulevard,34,No,,No,No,Good,Good,,,,Level 1: ADA Compliant,,,{94C5C066-F4A4-4748-9726-68BB4496643C},14
-66.66833391,45.98271596,661,340 Sunset Dr,11S Prospect ,Standard on Metal Pole,Concrete,Yes Monolithic,829,No,,No,No,Good,Good,,Other,Other,Level 2: Accessible,,,{12889A32-EF21-410B-AFF4-3D124C699B0A},11
-66.63510984,46.00954611,662,1125 Brookside Dr,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,36,No,,No,No,Good,Good,,Other,Other,Level 3: Not Accessible,,,{6AB93120-029C-4436-B4BF-332529291AFE},13
-66.69728193,45.95483979,663,281 Rainsford Ln,15S Hanwell,Standard on Metal Pole,Concrete,Yes Boulevard,42,No,,No,No,,,1,,,Level 2: Accessible,,,{CBA3B010-42EA-46C7-AD91-A04D2D1932DC},15
-66.68451385,45.94900489,664,665 Prospect ,15S Hanwell,Standard on Metal Pole,Dirt,Yes Boulevard,44,No,,No,No,,,,,,Level 2: Accessible,,,{936E45CF-5637-4DB7-8913-21EC1EC751C4},15
-66.68574224,45.94937441,665,640 Prospect,14N Barkers Point,Standard on Metal Pole,Concrete,No,51,Yes,,No,No,Good,Good ,,,,Level 1: ADA Compliant,,,{F80F3F0E-F9C1-448C-95A7-6C34821DB736},14
-66.63664484,45.94695932,666,Beaverbrook  / Waterloo,11S Prospect ,Shelter,Concrete,No,868,No,,No,Yes,,,,,,Level 1: ADA Compliant,,,{7701CC78-4D6A-42C4-BCF1-4DF951696852},11
-66.64201613,45.9611255,667,Kings place,116 Kings Place,Standard on Metal Pole,Concrete,Yes Monolithic,53,Yes,,No,No,,,,Other,,Level 1: ADA Compliant,,,{8E14B5B1-5F6C-4FE2-AEB9-B50E93F619C5},116
-66.65404908,45.99586668,668,49 Stairs,13S Prospect,Standard on Metal Pole,Dirt,Yes Boulevard,12,No,,No,No,Good,Good,1,,,Level 3: Not Accessible,,,{B69EC733-0E56-4C59-AA66-CF630C805991},13
-66.63268866,45.97284204,670,35 Dedham,17S Regent,Standard on Metal Pole,Concrete,No,405,,,,,,,,,,Level 2: Accessible,,no,{B5578EC1-5BCB-482F-9699-E405E7A8E244},17S
-66.61636071,45.91283201,671,Hooper Ct.,116 Kings Place,Standard on Metal Pole,Gravel,No,986,,,No,No,Good,Good,1,Other,,Level 2: Accessible,,,{BA3FC3DC-1ADD-4FB3-BC2B-E18767D08A8D},"116,216"
-66.66894676,45.96039942,672,183 Hanwell,13 S Prospect,Standard on Metal Pole,Asphalt,Yes Monolithic,59,,,,,,,1,,,Level 1: ADA Compliant,,Roadway,{7431CB31-50F2-499F-85A5-AD7440F16CC5},13S
-66.63754268,45.96073857,673,Crowne Plaza,16N,Standard on Metal Pole,Concrete,Yes Monolithic,400,,,,,,,,,,Level 1: ADA Compliant,,RW,{4B4D3BF6-EC74-4692-B50A-4A6DACF7BA76},"10,16,18"
-66.66270114,45.98319502,674,Main Street ,10N,Standard on Metal Pole,Concrete,Yes Monolithic,932,,,,,,,,,,Level 2: Accessible,,,{CEA15B06-2755-4454-9F67-FAC88B6A0A09},
